,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,year,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
146,907,4517,1543,591,2974,143,2016,0.1308390524684525,0.031658180208102724,0.3830200907323396,0.19872225958305312,0.5188298587760591,4.1328671328671325
117,907,4146,1254,550,2892,52,2017,0.1326579835986493,0.012542209358417752,0.43859649122807015,0.19017980636237897,0.4336099585062241,10.576923076923077
88,907,3849,1459,561,2390,106,2018,0.14575214341387374,0.027539620680696285,0.3845099383139136,0.23472803347280335,0.6104602510460251,5.2924528301886795
61,907,3845,1223,511,2622,154,2019,0.1328998699609883,0.040052015604681405,0.4178250204415372,0.1948893974065599,0.4664378337147216,3.3181818181818183
32,907,4025,1509,303,2516,219,2020,0.07527950310559006,0.054409937888198756,0.20079522862823063,0.12042925278219396,0.5997615262321144,1.3835616438356164
3,907,4059,1648,377,2411,199,2021,0.092880019709288,0.04902685390490268,0.2287621359223301,0.15636665284114476,0.6835338034010784,1.8944723618090453
323,911,4344,2097,1276,2247,442,2010,0.2937384898710866,0.10174953959484347,0.6084883166428231,0.5678682688028482,0.9332443257676902,2.8868778280542986
294,911,4628,2112,948,2516,457,2011,0.2048401037165082,0.0987467588591184,0.44886363636363635,0.3767885532591415,0.8394276629570747,2.0743982494529543
265,911,4826,1838,811,2988,709,2012,0.16804807293825114,0.1469125569830087,0.44124047878128403,0.2714190093708166,0.6151271753681392,1.1438645980253879
236,911,5534,2163,746,3371,589,2013,0.13480303577882183,0.10643295988435128,0.34489135460009246,0.22129931770987837,0.6416493622070603,1.266553480475382
207,911,5286,2041,707,3245,581,2014,0.13374952705259174,0.10991297767688234,0.34639882410583045,0.21787365177195686,0.6289676425269646,1.216867469879518
178,911,5462,2231,632,3231,546,2015,0.11570853167337972,0.09996338337605273,0.2832810398924249,0.19560507582791706,0.6904982977406375,1.1575091575091576
149,911,5302,2467,697,2835,354,2016,0.13145982648057336,0.06676725763862694,0.28252938792055127,0.24585537918871253,0.8701940035273369,1.9689265536723164
120,911,5029,2239,650,2790,119,2017,0.1292503479817061,0.02366275601511235,0.29030817329164804,0.23297491039426524,0.8025089605734766,5.46218487394958
91,911,4742,2189,667,2553,128,2018,0.14065795023196964,0.026992830029523407,0.30470534490634993,0.26126126126126126,0.8574226400313357,5.2109375
64,911,4802,2023,639,2779,332,2019,0.13306955435235318,0.06913785922532278,0.3158675234799802,0.22993882691615689,0.7279596977329975,1.9246987951807228
35,911,4916,2504,683,2412,258,2020,0.13893409275834012,0.052481692432872255,0.2727635782747604,0.28316749585406303,1.0381426202321724,2.647286821705426
6,911,4599,2087,685,2512,248,2021,0.14894542291802565,0.053924766253533374,0.3282223287014854,0.2726910828025478,0.830812101910828,2.7620967741935485
324,912,2714,1189,1042,1525,300,2010,0.38393515106853354,0.1105379513633014,0.8763666947014298,0.6832786885245902,0.779672131147541,3.473333333333333
295,912,2781,1258,948,1523,188,2011,0.3408845738942826,0.06760158216468896,0.753577106518283,0.6224556795797768,0.8260013131976363,5.042553191489362
266,912,2756,1037,724,1719,203,2012,0.262699564586357,0.07365747460087083,0.6981677917068466,0.42117510180337403,0.6032577079697499,3.5665024630541873
237,912,2913,1127,702,1786,130,2013,0.24098867147270855,0.04462753175420529,0.6228926353149956,0.393057110862262,0.6310190369540873,5.4
208,912,3001,1038,641,1963,337,2014,0.21359546817727423,0.11229590136621126,0.617533718689788,0.32654100866021396,0.5287824758023434,1.9020771513353116
179,912,3074,1074,574,2000,233,2015,0.1867273910214704,0.07579700715679896,0.5344506517690876,0.287,0.537,2.463519313304721
150,912,2989,1052,496,1937,267,2016,0.16594178655068584,0.08932753429240549,0.4714828897338403,0.2560660815694373,0.5431078988125968,1.857677902621723
121,912,2878,1144,501,1734,232,2017,0.1740792216817234,0.08061153578874218,0.4379370629370629,0.2889273356401384,0.6597462514417531,2.1594827586206895
92,912,3117,1323,775,1794,238,2018,0.2486365094642284,0.0763554700032082,0.5857898715041572,0.4319955406911929,0.7374581939799331,3.2563025210084033
65,912,3226,1472,901,1754,91,2019,0.27929324240545567,0.028208307501549908,0.6120923913043478,0.5136830102622577,0.8392246294184721,9.901098901098901
36,912,3050,1309,737,1741,113,2020,0.24163934426229508,0.03704918032786885,0.5630252100840336,0.4233199310740953,0.7518667432510052,6.522123893805309
7,912,2942,1075,673,1867,33,2021,0.22875594833446636,0.011216859279401768,0.626046511627907,0.3604713444027852,0.5757900374933048,20.393939393939394
325,913,1741,271,208,1470,278,2010,0.11947156806433085,0.15967834577828835,0.7675276752767528,0.1414965986394558,0.18435374149659864,0.7482014388489209
296,913,1886,381,278,1505,137,2011,0.1474019088016967,0.07264050901378578,0.7296587926509186,0.18471760797342193,0.253156146179402,2.0291970802919708
267,913,2239,374,217,1865,243,2012,0.09691826708351943,0.10853059401518535,0.5802139037433155,0.11635388739946381,0.2005361930294906,0.8930041152263375
238,913,2522,442,186,2080,315,2013,0.07375099127676447,0.12490087232355274,0.42081447963800905,0.08942307692307692,0.2125,0.5904761904761905
209,913,2579,494,243,2085,369,2014,0.09422256688639008,0.1430787126793331,0.49190283400809715,0.11654676258992806,0.23693045563549162,0.6585365853658537
180,913,2591,576,256,2015,278,2015,0.09880355075260518,0.10729448089540718,0.4444444444444444,0.1270471464019851,0.2858560794044665,0.920863309352518
151,913,2691,635,307,2056,290,2016,0.11408398364920104,0.10776662950575994,0.48346456692913387,0.14931906614785992,0.308852140077821,1.0586206896551724
122,913,2554,717,335,1837,177,2017,0.13116679718089272,0.06930305403288958,0.46722454672245467,0.1823625476320087,0.39031028851388133,1.8926553672316384
93,913,2556,652,295,1904,97,2018,0.11541471048513302,0.037949921752738654,0.45245398773006135,0.15493697478991597,0.34243697478991597,3.0412371134020617
66,913,2671,634,226,2037,99,2019,0.08461250467989517,0.03706476974915762,0.35646687697160884,0.11094747177221403,0.3112420225822288,2.282828282828283
37,913,2754,828,364,1926,74,2020,0.13217138707334786,0.026870007262164125,0.4396135265700483,0.18899273104880582,0.42990654205607476,4.918918918918919
8,913,2397,852,300,1545,11,2021,0.1251564455569462,0.00458906967042136,0.352112676056338,0.1941747572815534,0.5514563106796116,27.272727272727273
326,914,2008,716,465,1292,430,2010,0.23157370517928286,0.21414342629482072,0.6494413407821229,0.35990712074303405,0.5541795665634675,1.0813953488372092
