,year,Total,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract
90,2015,2126.0,20914.0,39150.0,-0.033280946658038275,0.03554991271226789,81302
91,2014,2112.0,21634.0,37806.0,-0.00023106428208327556,0.04482644262657528,81302
92,2013,2065.0,21639.0,36184.0,0.04855356883267917,0.040667241875179755,81302
93,2012,2098.0,20637.0,34770.0,0.011419329543226818,0.07834015630815036,81302
94,2011,2058.0,20404.0,32244.0,,,81302
95,2010,,,,,,81302
96,2021,1289.0,59464.0,105162.0,0.19993542658810234,0.15340828077872223,814
97,2020,1259.0,49556.0,91175.0,-0.11363107907492533,0.1627684538080906,814
98,2019,1224.0,55909.0,78412.0,0.1748303179306142,0.09210434685719857,814
99,2018,1333.0,47589.0,71799.0,0.2509265830770444,0.21668474208635533,814
100,2017,1326.0,38043.0,59012.0,0.11540153047761456,0.10317237769427776,814
101,2016,1246.0,34107.0,53493.0,-0.19908418457203242,-0.08876737530662306,814
102,2015,1240.0,42585.0,58704.0,-0.02524720747115913,-0.10443935926773455,814
103,2014,1216.0,43688.0,65550.0,-0.006481249857867328,-0.024059792156745974,814
104,2013,1211.0,43973.0,67166.0,-0.04360781243203271,-0.10713193752077102,814
105,2012,1164.0,45978.0,75225.0,-0.020055840917325603,-0.036589738992341386,814
106,2011,1246.0,46919.0,78082.0,,,814
107,2010,,,,,,814
108,2021,1001.0,63144.0,70123.0,0.3112657044958987,0.07967912791771879,815
109,2020,1014.0,48155.0,64948.0,0.320617595436595,0.13094657658285158,815
110,2019,953.0,36464.0,57428.0,0.06638591565771773,0.009705323862437583,815
111,2018,924.0,34194.0,56876.0,0.06956521739130435,0.018170100785879235,815
112,2017,911.0,31970.0,55861.0,-0.058792357287955954,0.05445862277257626,815
113,2016,894.0,33967.0,52976.0,-0.004104729234467998,-0.024257270734717184,815
114,2015,850.0,34107.0,54293.0,0.04867175009223958,0.029895479636549878,815
115,2014,861.0,32524.0,52717.0,0.047741769215901037,0.14056685417568152,815
116,2013,834.0,31042.0,46220.0,-0.023406531177247846,0.09194859194859195,815
117,2012,804.0,31786.0,42328.0,0.15935368566947514,0.02870197098208861,815
118,2011,814.0,27417.0,41147.0,-0.39552880481513325,-0.15153827119762456,815
119,2010,786.0,45357.0,48496.0,,,815
120,2021,2188.0,30349.0,50354.0,0.045363736566547255,0.17096879214920235,817
121,2020,2064.0,29032.0,43002.0,-0.09790883385638381,-0.17590693930741075,817
122,2019,1702.0,32183.0,52181.0,-0.1277137823553327,-0.13580430930259518,817
123,2018,1646.0,36895.0,60381.0,0.018411173677818263,0.16809177435579975,817
124,2017,1596.0,36228.0,51692.0,0.18535484082060008,0.10013407963904909,817
125,2016,1506.0,30563.0,46987.0,-0.008306564132515655,0.02365961525892682,817
126,2015,1490.0,30819.0,45901.0,0.10911577356317703,0.00706465696921828,817
127,2014,1426.0,27787.0,45579.0,0.2843540559278946,0.1441948035647044,817
128,2013,1413.0,21635.0,39835.0,-0.05729847494553377,-0.022741769294931553,817
129,2012,1397.0,22950.0,40762.0,-0.3551378234847846,-0.16684721512519163,817
130,2011,1423.0,35589.0,48925.0,-0.005365976356166681,-0.025243066624163212,817
131,2010,1357.0,35781.0,50192.0,,,817
132,2021,1376.0,33646.0,49022.0,0.076672,-0.021868390598188275,818
133,2020,1373.0,31250.0,50118.0,0.015698638151265966,0.10040619167855967,818
134,2019,1372.0,30767.0,45545.0,0.002084486857961763,-0.04164211766686306,818
135,2018,1378.0,30703.0,47524.0,0.02930034530155218,0.027346029961737177,818
136,2017,1390.0,29829.0,46259.0,-0.14978337703796601,0.028480590510916448,818
137,2016,1438.0,35084.0,44978.0,0.348762109795479,0.24977076328878267,818
138,2015,1379.0,26012.0,35989.0,0.0061890762803651555,-0.003737127671354224,818
139,2014,1246.0,25852.0,36124.0,-0.04822914365657904,-0.116254036598493,818
140,2013,1222.0,27162.0,40876.0,-0.334411526869073,-0.10134986589280218,818
141,2012,1156.0,40809.0,45486.0,-0.015962962069880158,-0.010743801652892562,818
142,2011,1104.0,41471.0,45980.0,-0.07842222222222223,-0.07607603584776755,818
143,2010,1020.0,45000.0,49766.0,,,818
144,2021,1566.0,60183.0,105860.0,0.21697369219258691,0.09073299400333834,819
145,2020,1529.0,49453.0,97054.0,0.782411245269418,0.9012302146998903,819
146,2019,1439.0,27745.0,51048.0,0.26320342378437445,0.31019968174118373,819
147,2018,1380.0,21964.0,38962.0,-0.0752,0.00888163857168751,819
148,2017,1413.0,23750.0,38619.0,0.13919800460475826,0.021612613089254537,819
149,2016,1405.0,20848.0,37802.0,-0.0345466333240715,-0.0056815192803408915,819
150,2015,1413.0,21594.0,38018.0,-0.30308213651766985,-0.16811448327170084,819
151,2014,1348.0,30985.0,45701.0,-0.013562127916971761,0.07820978625017695,819
152,2013,1302.0,31411.0,42386.0,-0.1134849853240009,-0.0269289928602585,819
153,2012,1225.0,35432.0,43559.0,-0.042481893849313584,-0.0807816489754574,819
154,2011,1177.0,37004.0,47387.0,-0.15618087702095637,-0.0986094995339636,819
155,2010,1097.0,43853.0,52571.0,,,819
156,2021,1313.0,69041.0,91104.0,0.05617341553335679,0.04514219504640411,820
157,2020,1285.0,65369.0,87169.0,0.5174919330501195,0.3860550166958181,820
158,2019,1242.0,43077.0,62890.0,0.0626850207223209,-0.017804154302670624,820
159,2018,1207.0,40536.0,64030.0,0.12390828180885574,0.11595238510204438,820
160,2017,1157.0,36067.0,57377.0,-0.01684612239334878,0.0971165245324869,820
161,2016,1135.0,36685.0,52298.0,0.37732307114698704,0.1185780895752235,820
162,2015,1160.0,26635.0,46754.0,0.01366265793880347,-0.02073558981233244,820
163,2014,1149.0,26276.0,47744.0,-0.2842472283511754,-0.10536473850881631,820
164,2013,1096.0,36711.0,53367.0,-0.15363688760806918,-0.10263826066486187,820
165,2012,1149.0,43375.0,59471.0,0.3085254012308435,0.05157902181985359,820
166,2011,1072.0,33148.0,56554.0,-0.19488973088506753,0.06426541711360771,820
167,2010,1028.0,41172.0,53139.0,,,820
168,2021,2199.0,26547.0,57732.0,0.0803320717861067,0.08883105126174042,821
169,2020,2201.0,24573.0,53022.0,-0.021970149253731343,-0.045714697095136966,821
170,2019,2223.0,25125.0,55562.0,0.23246345531246934,0.1172058793959745,821
171,2018,2298.0,20386.0,49733.0,0.0657117465628104,0.06824039865967867,821
172,2017,2187.0,19129.0,46556.0,0.060072042116929895,0.2336309918121837,821
173,2016,2105.0,18045.0,37739.0,0.04179897234570752,-0.016111791850248976,821
174,2015,2130.0,17321.0,38357.0,0.0434965961804928,0.2655316902570194,821
175,2014,2075.0,16599.0,30309.0,-0.18584461447910536,-0.14114480022669312,821
176,2013,1981.0,20388.0,35290.0,0.013068322981366459,-0.15264004610176002,821
177,2012,1984.0,20125.0,41647.0,-0.06763956451239286,-0.11035396150641916,821
178,2011,2017.0,21585.0,46813.0,0.042753623188405795,0.10590597684857075,821
179,2010,2020.0,20700.0,42330.0,,,821
180,2021,1301.0,54670.0,77029.0,0.14002710874778437,0.20702947490480592,904
181,2020,1388.0,47955.0,63817.0,0.2375483870967742,-0.002142164680864371,904
182,2019,1325.0,38750.0,63954.0,0.03934769197757691,0.21474699893633187,904
183,2018,1292.0,37283.0,52648.0,-0.03785806451612903,0.009510661144347293,904
184,2017,1263.0,38750.0,52152.0,0.24875124875124874,0.2811241033703449,904
185,2016,1290.0,31031.0,40708.0,-0.034805598755832036,-0.022875111015098055,904
186,2015,1224.0,32150.0,41661.0,-0.08469750889679716,0.03508161693458223,904
187,2014,1148.0,35125.0,40249.0,0.10061415052954815,-0.03442567891757029,904
188,2013,1131.0,31914.0,41684.0,-0.028522723813582538,-0.029905280551094975,904
189,2012,1122.0,32851.0,42969.0,-0.06388738494856525,0.012226148409893993,904
190,2011,1064.0,35093.0,42450.0,0.01252200005770507,-0.08874291602266873,904
191,2010,1088.0,34659.0,46584.0,,,904
192,2021,816.0,45526.0,73053.0,0.019231199767165915,0.09971548570654383,906
193,2020,852.0,44667.0,66429.0,-0.1087455354470539,0.034316854807318026,906
194,2019,802.0,50117.0,64225.0,0.13902272727272727,0.10826387810391537,906
195,2018,772.0,44000.0,57951.0,0.1069182389937107,0.09300264051301396,906
196,2017,755.0,39750.0,53020.0,-0.029304029304029304,-0.02884879567725982,906
197,2016,787.0,40950.0,54595.0,0.036997644913773456,-0.026358496959320885,906
198,2015,737.0,39489.0,56073.0,-0.018906832298136646,-0.022028045207199667,906
199,2014,715.0,40250.0,57336.0,-0.20517377567140602,-0.13534707665394882,906
200,2013,651.0,50640.0,66311.0,0.060523560209424086,0.19636639183069624,906
201,2012,694.0,47750.0,55427.0,-0.04817908186656567,0.00838700287450424,906
202,2011,660.0,50167.0,54966.0,0.13651707029745588,0.1488828041719792,906
203,2010,650.0,44141.0,47843.0,,,906
