year,Median income (dollars),Mean income (dollars),median_income_difference,mean_income_difference,census_tract,Total population in occupied housing units:,Owner_occupied,Owner_occupied_Moved in 1999 or earlier,Renter_occupied,Renter_occupied_Moved in 1999 or earlier,percent_owners,percent_renters,percent_old_owners,percent_old_renters,renters_owners_ratio,old_renters_owners_ratio
2018,56882,81465,0.074786486,0.066714679,921.01,6948,3424,1062,3524,165,0.492803685,0.507196315,0.310163551,0.301362089,0.971623156,6.436363636
2017,52924,76370,0.067898868,0.05544653,921.01,6916,3201,1064,3715,111,0.462839792,0.537160208,0.332396126,0.28640646,0.861641992,9.585585586
2016,49559,72358,0.080587838,0.119988856,921.01,6532,2945,1101,3587,168,0.450857318,0.549142682,0.37385399,0.306941734,0.821020351,6.553571429
2015,45863,64606,-0.095225883,-0.023665599,921.01,6887,2316,1072,4571,198,0.336285756,0.663714244,0.462867012,0.234521986,0.506672501,5.414141414
2014,50690,66172,0.086788731,0.100226124,921.01,6539,2363,1060,4176,460,0.36137024,0.63862976,0.448582311,0.253831418,0.56585249,2.304347826
2013,46642,60144,-0.017007735,-0.136928508,921.01,6404,2224,1090,4180,568,0.347282948,0.652717052,0.490107914,0.26076555,0.532057416,1.919014085
2012,47449,69686,-0.025687885,-0.038959606,921.01,6585,2558,1238,4027,570,0.388458618,0.611541382,0.483971853,0.307424882,0.635212317,2.171929825
2011,48700,72511,0.133691831,0.162202882,921.01,6821,2765,1544,4056,886,0.405365782,0.594634218,0.55840868,0.380670611,0.681706114,1.742663657
2010,42957,62391,,,921.01,5662,2033,1585,3629,771,0.359060403,0.640939597,0.779636006,0.436759438,0.560209424,2.055771725
2021,85132,110865,0.05918507,0.109693112,922,3525,2076,1211,1449,147,0.58893617,0.41106383,0.583333333,0.835748792,1.432712215,8.238095238
2020,80375,99906,0.121256086,0.139010181,922,3463,2036,1272,1427,167,0.587929541,0.412070459,0.62475442,0.891380519,1.426769446,7.616766467
2019,71683,87713,0.11091653,0.060142379,922,3263,1725,1002,1538,154,0.528654612,0.471345388,0.580869565,0.651495449,1.121586476,6.506493506
2018,64526,82737,-0.072235802,-0.040296482,922,3090,1597,1078,1493,271,0.516828479,0.483171521,0.675015654,0.722036169,1.069658406,3.977859779
2017,69550,86211,0.037409385,0.043640898,922,3248,1728,1111,1520,238,0.532019704,0.467980296,0.642939815,0.730921053,1.136842105,4.668067227
2016,67042,82606,-0.012505339,-0.086277459,922,3200,1807,1006,1393,200,0.5646875,0.4353125,0.556723852,0.72218234,1.297200287,5.03
2015,67891,90406,0.025574791,-4.42E-05,922,3249,1877,1126,1372,309,0.57771622,0.42228378,0.599893447,0.820699708,1.368075802,3.644012945
2014,66198,90410,-0.024534724,0.143865687,922,3135,1454,768,1681,487,0.463795853,0.536204147,0.528198074,0.45687091,0.864961333,1.577002053
2013,67863,79039,0.38529844,0.051050532,922,2972,1318,742,1654,451,0.443472409,0.556527591,0.562974203,0.448609432,0.796856106,1.645232816
2012,48988,75200,0.068487175,0.076145909,922,2867,1303,684,1564,475,0.454482037,0.545517963,0.524942441,0.437340153,0.833120205,1.44
2011,45848,69879,-0.016517225,0.018317741,922,2845,1117,692,1728,520,0.392618629,0.607381371,0.619516562,0.400462963,0.646412037,1.330769231
2010,46618,68622,,,922,2932,986,611,1946,297,0.336289222,0.663710778,0.619675456,0.31397739,0.50668037,2.057239057
2021,71667,78326,-0.006983414,0.022105648,923,3834,1650,589,2184,181,0.430359937,0.569640063,0.356969697,0.269688645,0.755494505,3.254143646
2020,72171,76632,0.301105122,0.083627931,923,3536,1581,627,1955,196,0.447115385,0.552884615,0.39658444,0.320716113,0.808695652,3.198979592
2019,55469,70718,0.100204296,-0.002032119,923,3421,1452,718,1969,198,0.424437299,0.575562701,0.494490358,0.364652108,0.737430168,3.626262626
2018,50417,70862,0.114483399,0.152958787,923,3373,1477,669,1896,238,0.437889119,0.562110881,0.452945159,0.352848101,0.779008439,2.81092437
2017,45238,61461,0.034507992,0.080594968,923,3502,1426,609,2076,215,0.407195888,0.592804112,0.427068724,0.293352601,0.686897881,2.83255814
2016,43729,56877,0.028917647,0.060050321,923,3365,1451,590,1914,172,0.431203566,0.568796434,0.406616127,0.308254963,0.758098224,3.430232558
2015,42500,53655,0.15123114,-0.043275917,923,3434,1578,711,1856,152,0.459522423,0.540477577,0.450570342,0.383081897,0.850215517,4.677631579
2014,36917,56082,-0.090266141,0.045097089,923,3360,1430,461,1930,153,0.425595238,0.574404762,0.322377622,0.238860104,0.740932642,3.013071895
2013,40580,53662,0.058949401,-0.018240363,923,3404,1402,499,2002,144,0.41186839,0.58813161,0.355920114,0.249250749,0.7002997,3.465277778
2012,38321,54659,0.042322861,-0.053556587,923,3155,1261,574,1894,295,0.399683043,0.600316957,0.45519429,0.303062302,0.665786695,1.945762712
2011,36765,57752,0.005249774,0.038611636,923,2964,1170,682,1794,247,0.394736842,0.605263158,0.582905983,0.380156076,0.652173913,2.761133603
2010,36573,55605,,,923,2662,1188,665,1474,239,0.446280992,0.553719008,0.55976431,0.451153324,0.805970149,2.782426778
2021,39850,63515,0.248863957,0.096049975,924,5987,1065,513,4922,52,0.177885418,0.822114582,0.481690141,0.104225924,0.216375457,9.865384615
2020,31909,57949,-0.050072936,0.072474229,924,6386,1050,606,5336,141,0.164422174,0.835577826,0.577142857,0.113568216,0.196776612,4.29787234
2019,33591,54033,0.053504783,0.141912169,924,6412,1142,618,5270,245,0.178103556,0.821896444,0.541155867,0.117267552,0.216698292,2.52244898
2018,31885,47318,0.003777743,0.238010518,924,6549,1116,563,5433,282,0.170407696,0.829592304,0.504480287,0.103625989,0.205411375,1.996453901
2017,31765,38221,0.093534839,0.083883958,924,5984,1019,499,4965,450,0.170287433,0.829712567,0.48969578,0.100503525,0.205236657,1.108888889
2016,29048,35263,-0.076257712,-0.072660811,924,5817,1237,531,4580,568,0.21265257,0.78734743,0.429264349,0.115938865,0.270087336,0.934859155
2015,31446,38026,0.035770751,0.046279991,924,5732,1296,612,4436,907,0.226099093,0.773900907,0.472222222,0.137962128,0.292155095,0.674751929
2014,30360,36344,-0.02978397,-0.121234102,924,5573,1204,493,4369,620,0.216041629,0.783958371,0.409468439,0.112840467,0.275577935,0.79516129
2013,31292,41358,-0.038766357,-0.038253145,924,5593,1187,442,4406,644,0.212229573,0.787770427,0.372367313,0.100317749,0.269405356,0.686335404
2012,32554,43003,0.242187202,0.060153342,924,5859,1178,561,4681,517,0.201058201,0.798941799,0.4762309,0.119846187,0.251655629,1.085106383
2011,26207,40563,-0.0835752,0.049386868,924,5597,1153,421,4444,547,0.206003216,0.793996784,0.365134432,0.094734473,0.259450945,0.769652651
2010,28597,38654,,,924,5995,1379,408,4616,700,0.230025021,0.769974979,0.29586657,0.088388215,0.298743501,0.582857143
2021,36471,62289,0.173795501,0.159900935,1001,7230,2065,771,5165,451,0.285615491,0.714384509,0.373365617,0.149273959,0.399806389,1.709534368
2020,31071,53702,0.084162043,0.116744302,1001,6934,2067,829,4867,677,0.298096337,0.701903663,0.401064344,0.170330799,0.424696939,1.224519941
2019,28659,48088,-0.027948309,-0.083322214,1001,6926,2427,994,4499,640,0.350418712,0.649581288,0.409559126,0.220937986,0.539453212,1.553125
2018,29483,52459,0.06245045,0.120105052,1001,7050,2442,621,4608,632,0.346382979,0.653617021,0.254299754,0.134765625,0.529947917,0.982594937
2017,27750,46834,-0.018706461,0.069709013,1001,6653,2203,564,4450,493,0.331128814,0.668871186,0.256014526,0.126741573,0.49505618,1.144016227
2016,28279,43782,0.108806462,-0.017635972,1001,5983,1576,568,4407,622,0.263413004,0.736586996,0.360406091,0.128885863,0.357612889,0.91318328
2015,25504,44568,-0.110460047,0.019606049,1001,6059,1539,550,4520,579,0.254002311,0.745997689,0.357374919,0.121681416,0.340486726,0.949913644
2014,28671,43711,0.152093547,0.070429778,1001,6297,1661,481,4636,508,0.263776401,0.736223599,0.289584588,0.103753236,0.358283003,0.946850394
2013,24886,40835,-0.106106322,-0.039515465,1001,6232,1561,543,4671,439,0.250481386,0.749518614,0.34785394,0.116249197,0.334189681,1.23690205
2012,27840,42515,0.24424581,0.143767991,1001,6132,1697,677,4435,537,0.276744945,0.723255055,0.398939305,0.15264938,0.382638106,1.260707635
2011,22375,37171,-0.139654708,-0.112376722,1001,5607,1480,524,4127,677,0.26395577,0.73604423,0.354054054,0.126968742,0.358614005,0.774002954
2010,26007,41877,,,1001,5575,1665,529,3910,755,0.298654709,0.701345291,0.317717718,0.135294118,0.425831202,0.700662252
2021,58958,69201,-0.03696444,-0.04869197,1002,3748,1670,986,2078,168,0.445570971,0.554429029,0.590419162,0.474494706,0.803657363,5.869047619
2020,61221,72743,0.149280069,0.027908094,1002,3742,1832,981,1910,100,0.489577766,0.510422234,0.535480349,0.513612565,0.959162304,9.81
2019,53269,70768,0.190368715,0.043591105,1002,3296,1166,543,2130,167,0.353762136,0.646237864,0.465694683,0.254929577,0.54741784,3.251497006
2018,44750,67812,0.141086774,0.108709514,1002,3419,1199,549,2220,215,0.350687335,0.649312665,0.457881568,0.247297297,0.54009009,2.553488372
2017,39217,61163,0.054135419,0.099421196,1002,3159,1169,574,1990,268,0.370053814,0.629946186,0.491017964,0.288442211,0.587437186,2.141791045
2016,37203,55632,0.018060915,-0.028991325,1002,2909,1064,581,1845,274,0.36576143,0.63423857,0.546052632,0.314905149,0.576693767,2.120437956
2015,36543,57293,-0.005957238,0.107325087,1002,2996,1197,609,1799,297,0.39953271,0.60046729,0.50877193,0.338521401,0.66536965,2.050505051
2014,36762,51740,-0.183066667,-0.062766054,1002,2941,1197,698,1744,256,0.40700442,0.59299558,0.583124478,0.400229358,0.686353211,2.7265625
2013,45000,55205,-0.115200849,-0.091320593,1002,2668,1168,655,1500,225,0.437781109,0.562218891,0.560787671,0.436666667,0.778666667,2.911111111
2012,50859,60753,0.213876557,0.090933578,1002,2664,1153,558,1511,169,0.432807808,0.567192192,0.4839549,0.36929186,0.763070814,3.301775148
2011,41898,55689,-0.091583192,-0.038634833,1002,2597,1009,584,1588,176,0.388525221,0.611474779,0.578790882,0.367758186,0.635390428,3.318181818
2010,46122,57927,,,1002,2893,1407,849,1486,177,0.486346353,0.513653647,0.603411514,0.571332436,0.946837147,4.796610169
2021,65417,84047,-0.040933015,0.078604245,1003,4094,1936,729,2158,57,0.472887152,0.527112848,0.376549587,0.33781279,0.897126969,12.78947368
2020,68209,77922,0.320728047,0.009875583,1003,4230,1980,919,2250,155,0.468085106,0.531914894,0.464141414,0.408444444,0.88,5.929032258
2019,51645,77160,-0.00175893,0.031454276,1003,4353,2090,1117,2263,91,0.480128647,0.519871353,0.534449761,0.493592576,0.923552806,12.27472527
2018,51736,74807,0.006830787,0.016454699,1003,4069,1835,1126,2234,204,0.450970754,0.549029246,0.613623978,0.504028648,0.821396598,5.519607843
2017,51385,73596,0.021733079,0.172097468,1003,4032,1918,1210,2114,200,0.475694444,0.524305556,0.630865485,0.572374645,0.907284768,6.05
2016,50292,62790,0.087394595,0.109716871,1003,3701,1762,1069,1939,204,0.476087544,0.523912456,0.606696935,0.551315111,0.908715833,5.240196078
2015,46250,56582,-0.042839404,-0.008672495,1003,3604,1979,1055,1625,100,0.549112098,0.450887902,0.533097524,0.649230769,1.217846154,10.55
2014,48320,57077,-0.002971278,0.005691229,1003,3381,1683,768,1698,179,0.497781721,0.502218279,0.456327986,0.45229682,0.991166078,4.290502793
2013,48464,56754,0.107748571,0.0265157,1003,3173,1603,561,1570,209,0.505200126,0.494799874,0.349968808,0.357324841,1.021019108,2.684210526
2012,43750,55288,-0.042355259,0.00112266,1003,3582,1490,654,2092,370,0.415968733,0.584031267,0.438926174,0.312619503,0.712237094,1.767567568
2011,45685,55226,0.036622722,0.072120518,1003,3488,1364,716,2124,434,0.391055046,0.608944954,0.524926686,0.337099812,0.642184557,1.649769585
2010,44071,51511,,,1003,3555,1394,1069,2161,567,0.392123769,0.607876231,0.766857963,0.49467839,0.645071726,1.885361552
2021,94352,97932,0.053553084,0.078059467,1004,5783,2656,1129,3127,292,0.459277192,0.540722808,0.425075301,0.361048929,0.849376399,3.866438356
2020,89556,90841,0.313253365,0.174339086,1004,5676,2781,1265,2895,302,0.489957717,0.510042283,0.454872348,0.436960276,0.960621762,4.188741722
2019,68194,77355,0.24378055,0.027058964,1004,5907,2648,992,3259,507,0.4482817,0.5517183,0.374622356,0.304387849,0.812519178,1.956607495
2018,54828,75317,0.020853504,0.090476053,1004,5568,2990,1086,2578,462,0.536997126,0.463002874,0.363210702,0.421256788,1.159813809,2.350649351
2017,53708,69068,-0.215345956,-0.069741131,1004,5531,2811,1259,2720,433,0.508226361,0.491773639,0.447883316,0.462867647,1.033455882,2.907621247
2016,68448,74246,0.107698283,0.056025716,1004,5461,2838,1496,2623,364,0.519685039,0.480314961,0.527131783,0.570339306,1.081967213,4.10989011
2015,61793,70307,0.177345908,0.037098773,1004,5074,2368,1402,2706,416,0.466692944,0.533307056,0.592060811,0.518107908,0.875092387,3.370192308
2014,52485,67792,0.004055631,-0.002941523,1004,4673,2026,1606,2647,365,0.433554462,0.566445538,0.792694965,0.606724594,0.765394787,4.4
2013,52273,67992,-0.091394205,-0.00341517,1004,4921,1989,1648,2932,467,0.404186141,0.595813859,0.828557064,0.56207367,0.678376535,3.528907923
2012,57531,68225,0.086926129,0.089160281,1004,4488,1946,1546,2542,447,0.433600713,0.566399287,0.794450154,0.608182533,0.765538946,3.458612975
2011,52930,62640,,,1004,4491,1639,1180,2852,523,0.364952126,0.635047874,0.71995119,0.413744741,0.574684432,2.256214149
2010,,,,,1004,4635,1788,1130,2847,558,0.385760518,0.614239482,0.631991051,0.396909027,0.628029505,2.025089606
2021,49644,81963,0.25789287,0.113763911,1005,7049,2960,1220,4089,333,0.419917719,0.580082281,0.412162162,0.298361458,0.723893372,3.663663664
2020,39466,73591,-0.341278187,-0.133509949,1005,6908,2720,839,4188,249,0.393746381,0.606253619,0.308455882,0.200334288,0.64947469,3.369477912
2019,59913,84930,0.281808263,0.197546531,1005,6592,2811,899,3781,279,0.426425971,0.573574029,0.319815012,0.237767786,0.743454113,3.222222222
2018,46741,70920,-0.087980488,0.016322495,1005,6876,2659,1037,4217,259,0.386707388,0.613292612,0.389996239,0.245909414,0.63054304,4.003861004
2017,51250,69781,-0.013246563,0.00065964,1005,7303,2522,907,4781,292,0.345337533,0.654662467,0.35963521,0.189709266,0.527504706,3.106164384
2016,51938,69735,0.00737034,-0.019970206,1005,7314,2476,1066,4838,284,0.338528849,0.661471151,0.430533118,0.220338983,0.511781728,3.753521127
2015,51558,71156,0.041365381,0.12244061,1005,7190,2413,1289,4777,384,0.335605007,0.664394993,0.534189805,0.269834624,0.505128742,3.356770833
2014,49510,63394,-0.100063619,-0.110334568,1005,6559,1761,1075,4798,309,0.26848605,0.73151395,0.610448609,0.224051688,0.367027928,3.478964401
2013,55015,71256,0.045992091,-0.021786582,1005,6818,2399,1604,4419,493,0.351862716,0.648137284,0.668611922,0.362978049,0.542883005,3.253549696
2012,52596,72843,0.128548439,0.129138765,1005,5659,2206,1331,3453,430,0.389821523,0.610178477,0.603354488,0.385461917,0.638864755,3.095348837
2011,46605,64512,-0.099994207,-0.02150766,1005,5222,1811,1317,3411,396,0.346801992,0.653198008,0.727222529,0.386103782,0.530929346,3.325757576
2010,51783,65930,,,1005,4803,1891,1398,2912,441,0.393712263,0.606287737,0.73929138,0.480082418,0.649381868,3.170068027
2021,99207,112671,0.070032573,0.122690767,1006.01,5681,2504,761,3177,228,0.440767471,0.559232529,0.303913738,0.239534152,0.788164935,3.337719298
2020,92714,100358,0.210476153,0.06362143,1006.01,6126,2428,633,3698,266,0.396343454,0.603656546,0.260708402,0.171173607,0.65657112,2.379699248
2019,76593,94355,0.077469544,0.10257429,1006.01,6316,2529,747,3787,321,0.400411653,0.599588347,0.295373665,0.197253763,0.667810932,2.327102804
2018,71086,85577,0.101971848,0.06932487,1006.01,5973,1905,489,4068,308,0.318935208,0.681064792,0.256692913,0.12020649,0.468289086,1.587662338
2017,64508,80029,0.030759152,0.087128982,1006.01,5898,2102,844,3796,463,0.356391997,0.643608003,0.40152236,0.222339305,0.55374078,1.822894168
2016,62583,73615,0.057055992,0.056002639,1006.01,5621,2022,863,3599,387,0.359722469,0.640277531,0.426805143,0.23978883,0.561822729,2.22997416
2015,59205,69711,0.013333105,-0.006102169,1006.01,5180,2380,1009,2800,265,0.459459459,0.540540541,0.42394958,0.360357143,0.85,3.80754717
2014,58426,70139,0.035664906,0.012764421,1006.01,5391,2689,1426,2702,229,0.498794287,0.501205713,0.530308665,0.527757217,0.995188749,6.227074236
2013,56414,69255,0.067617948,0.030779764,1006.01,5147,2611,1537,2536,370,0.507285798,0.492714202,0.588663347,0.606072555,1.029574132,4.154054054
2012,52841,67187,-0.01445464,-0.011432523,1006.01,4902,2514,1225,2388,328,0.512851897,0.487148103,0.487271281,0.512981575,1.052763819,3.734756098
2011,53616,67964,,,1006.01,4938,2516,1397,2422,625,0.509518023,0.490481977,0.555246423,0.576796036,1.0388109,2.2352
2010,,,,,1006.01,4653,2416,1776,2237,496,0.519234902,0.480765098,0.735099338,0.793920429,1.080017881,3.580645161
2021,123169,140596,0.332839164,0.250353506,1006.03,2051,1404,463,647,22,0.684544125,0.315455875,0.32977208,0.71561051,2.170015456,21.04545455
2020,92411,112445,0.016700956,-0.000631021,1006.03,2032,1344,476,688,9,0.661417323,0.338582677,0.354166667,0.691860465,1.953488372,52.88888889
2019,90893,112516,0.016984615,0.07256158,1006.03,1894,1136,217,758,18,0.599788807,0.400211193,0.191021127,0.286279683,1.498680739,12.05555556
2018,89375,104904,0.031341234,0.037092692,1006.03,1953,1094,298,859,0,0.56016385,0.43983615,0.272394881,0.346915017,1.273573923,inf
2017,86659,101152,0.06560179,0.115273934,1006.03,2049,1210,321,839,11,0.590531967,0.409468033,0.265289256,0.382598331,1.442193087,29.18181818
2016,81324,90697,0.014786808,0.036714865,1006.03,2004,1152,477,852,11,0.574850299,0.425149701,0.4140625,0.559859155,1.352112676,43.36363636
2015,80139,87485,0.046843363,-4.57E-05,1006.03,1950,1084,442,866,23,0.555897436,0.444102564,0.407749077,0.51039261,1.251732102,19.2173913
2014,76553,87489,0.180262407,0.118985496,1006.03,1905,1041,381,864,29,0.546456693,0.453543307,0.365994236,0.440972222,1.204861111,13.13793103
2013,64861,78186,-0.016333525,-0.006695209,1006.03,1723,1103,328,620,79,0.640162507,0.359837493,0.297370807,0.529032258,1.779032258,4.151898734
2012,65938,78713,0.036858823,0.022459212,1006.03,1813,1057,451,756,63,0.583011583,0.416988417,0.426679281,0.596560847,1.398148148,7.158730159
2011,63594,76984,0.052584537,0.079674067,1006.03,1617,976,487,641,69,0.603586889,0.396413111,0.49897541,0.75975039,1.522620905,7.057971014
2010,60417,71303,,,1006.03,1651,1155,860,496,97,0.699576015,0.300423985,0.744588745,1.733870968,2.328629032,8.865979381
2021,125094,174077,0.101150498,0.124993537,1007,4238,2909,1217,1329,52,0.686408683,0.313591317,0.418356824,0.91572611,2.188863807,23.40384615
2020,113603,154736,0.180290909,0.293725179,1007,4738,3081,1455,1657,73,0.650274377,0.349725623,0.47224927,0.878092939,1.85938443,19.93150685
2019,96250,119605,0.105521289,0.172414131,1007,4405,2939,1517,1466,114,0.667196368,0.332803632,0.51616196,1.03478854,2.004774898,13.30701754
2018,87063,102016,0.121584541,0.108640607,1007,4384,2796,1347,1588,120,0.637773723,0.362226277,0.481759657,0.848236776,1.76070529,11.225
2017,77625,92019,0.088083991,0.032008075,1007,4412,2667,1482,1745,204,0.604487761,0.395512239,0.55568054,0.849283668,1.528366762,7.264705882
2016,71341,89165,-0.013782521,-0.010289482,1007,4468,2806,1474,1662,169,0.628021486,0.371978514,0.525302922,0.886883273,1.688327316,8.721893491
2015,72338,90092,0.013605728,0.043976036,1007,4365,2667,1285,1698,404,0.610996564,0.389003436,0.481814773,0.756772674,1.570671378,3.180693069
2014,71367,86297,0.021805739,0.03385607,1007,4464,2669,1273,1795,496,0.597894265,0.402105735,0.476957662,0.709192201,1.486908078,2.566532258
2013,69844,83471,-0.002228571,0.063392573,1007,4393,2876,1370,1517,509,0.654677897,0.345322103,0.47635605,0.90309822,1.895847067,2.691552063
2012,70000,78495,0.022390349,0.029753237,1007,4353,2834,1407,1519,456,0.651045256,0.348954744,0.496471418,0.926267281,1.865701119,3.085526316
2011,68467,76227,0.028264624,0.063939369,1007,4354,2537,1509,1817,589,0.582682591,0.417317409,0.594797004,0.830489818,1.396257567,2.56196944
2010,66585,71646,,,1007,4186,2412,1454,1774,356,0.576206402,0.423793598,0.602819237,0.819616685,1.359639233,4.084269663
2021,88984,107190,0.084456577,0.048723217,1008,6001,2874,1146,3127,214,0.47892018,0.52107982,0.39874739,0.366485449,0.919091781,5.355140187
2020,82054,102210,-0.083195531,-0.039370671,1008,6269,3184,1456,3085,224,0.507895996,0.492104004,0.457286432,0.471961102,1.032090762,6.5
2019,89500,106399,0.012157195,0.043495744,1008,6230,3317,1356,2913,344,0.532423756,0.467576244,0.408803135,0.465499485,1.138688637,3.941860465
2018,88425,101964,0.150752853,0.032379564,1008,6572,3464,1536,3108,339,0.527084601,0.472915399,0.443418014,0.494208494,1.114543115,4.530973451
2017,76841,98766,0.040247468,-0.057980829,1008,6583,3538,1673,3045,291,0.537444934,0.462555066,0.472866026,0.549425287,1.161904762,5.749140893
2016,73868,104845,0.011447037,0.016816828,1008,6409,3493,2006,2916,428,0.545014823,0.454985177,0.57429144,0.687928669,1.1978738,4.686915888
2015,73032,103111,0.110550166,0.4098336,1008,6716,3588,2189,3128,330,0.534246575,0.465753425,0.610089186,0.699808184,1.147058824,6.633333333
2014,65762,73137,-0.043183472,-0.014764323,1008,6380,3683,1997,2697,404,0.577272727,0.422727273,0.542221015,0.740452354,1.365591398,4.943069307
2013,68730,74233,0.022904853,-0.014680312,1008,6373,3434,1647,2939,630,0.538835713,0.461164287,0.479615609,0.560394692,1.168424634,2.614285714
2012,67191,75339,0.104878891,0.05429687,1008,6590,3532,1506,3058,576,0.535963581,0.464036419,0.426387316,0.492478744,1.15500327,2.614583333
2011,60813,71459,0.070651408,0.043989598,1008,6238,3425,1878,2813,576,0.549054184,0.450945816,0.548321168,0.667614646,1.217561322,3.260416667
2010,56800,68448,,,1008,5602,3305,1766,2297,709,0.589967869,0.410032131,0.534341906,0.768828907,1.438833261,2.490832158
2021,,160064,,0.294073894,708.01,1096,23,0,1073,22,0.020985401,0.979014599,0,0,0.021435228,0
2020,,123690,,-0.155071008,708.01,1020,18,0,1002,37,0.017647059,0.982352941,0,0,0.017964072,0
2019,94653,146391,0.045346616,0.062351686,708.01,,,,,,,,,,,
2018,90547,137799,0.138955975,0.144738154,708.01,,,,,,,,,,,
2017,79500,120376,0.109297166,0.053794504,708.01,,,,,,,,,,,
2016,71667,114231,-0.225221622,0.001104246,708.01,,,,,,,,,,,
2015,92500,114105,-0.038011544,-0.014186113,708.01,,,,,,,,,,,
2014,96155,115747,0.386717623,0.103855727,708.01,,,,,,,,,,,
2013,69340,104857,0.077745656,0.165634692,708.01,,,,,,,,,,,
2012,64338,89957,0.13693474,-0.021557772,708.01,,,,,,,,,,,
2011,56589,91939,,,708.01,,,,,,,,,,,
2021,30357,60760,-0.157942914,0.021794699,709.01,1141,282,2,859,26,0.247151621,0.752848379,0.007092199,0.002328289,0.328288708,0.076923077
2020,36051,59464,-0.319792453,-0.567977565,709.01,1344,387,60,957,149,0.287946429,0.712053571,0.15503876,0.062695925,0.404388715,0.402684564
2019,53000,137641,-0.051454139,0.109015317,709.01,,,,,,,,,,,
2018,55875,124111,-0.085784875,0.068678693,709.01,,,,,,,,,,,
2017,61118,116135,0.281622211,0.294935551,709.01,,,,,,,,,,,
2016,47688,89684,0.026166294,0.038117396,709.01,,,,,,,,,,,
2015,46472,86391,-0.345464789,-0.167772886,709.01,,,,,,,,,,,
2014,71000,103807,0.305939265,0.057657823,709.01,,,,,,,,,,,
2013,54367,98148,0.012930151,0.067986942,709.01,,,,,,,,,,,
2012,53673,91900,0.051710624,0.040722957,709.01,,,,,,,,,,,
2011,51034,88304,0.233778165,0.128456781,709.01,,,,,,,,,,,
2021,42563,60228,0.017377378,0.042602178,801,1658,443,249,1215,141,0.267189385,0.732810615,0.562076749,0.204938272,0.364609053,1.765957447
2020,41836,57767,0.296918594,0.304172123,801,1845,633,400,1212,139,0.343089431,0.656910569,0.631911532,0.330033003,0.522277228,2.877697842
2019,32258,44294,0.033181731,0.016103872,801,1809,496,291,1313,127,0.274184632,0.725815368,0.586693548,0.221629855,0.377760853,2.291338583
2018,31222,43592,6.41E-05,-0.036875014,801,,,,,,,,,,,
2017,31220,45261,0.020328126,0.062365036,801,1748,587,276,1161,113,0.335812357,0.664187643,0.470187394,0.237726098,0.505598622,2.442477876
2016,30598,42604,0.002424322,0.108324662,801,1684,603,267,1081,75,0.35807601,0.64192399,0.44278607,0.246993525,0.557816836,3.56
2015,30524,38440,0.117358518,0.010834122,801,1618,485,204,1133,131,0.299752781,0.700247219,0.420618557,0.180052957,0.428067079,1.557251908
2014,27318,38028,-0.138559536,-0.160622448,801,1570,547,317,1023,143,0.348407643,0.651592357,0.57952468,0.309872923,0.534701857,2.216783217
2013,31712,45305,0.026876498,0.036585366,801,1592,700,612,892,170,0.439698492,0.560301508,0.874285714,0.686098655,0.784753363,3.6
2012,30882,43706,-0.234248308,-0.116229223,801,1537,607,528,930,143,0.394925179,0.605074821,0.86985173,0.567741935,0.652688172,3.692307692
2011,40329,49454,,,801,1690,772,679,918,131,0.456804734,0.543195266,0.879533679,0.739651416,0.840958606,5.183206107
2010,,,,,801,1359,664,534,695,78,0.488594555,0.511405445,0.804216867,0.768345324,0.955395683,6.846153846
2021,41211,60163,0.028654869,-0.014141513,803,2371,516,75,1855,170,0.217629692,0.782370308,0.145348837,0.040431267,0.278167116,0.441176471
2020,40063,61026,-0.059929136,0.145382883,803,2178,578,202,1600,147,0.265381084,0.734618916,0.349480969,0.12625,0.36125,1.37414966
2019,42617,53280,0.189322691,0.027440847,803,2185,565,168,1620,182,0.258581236,0.741418764,0.297345133,0.103703704,0.348765432,0.923076923
2018,35833,51857,-0.085659607,-0.008318672,803,2067,489,170,1578,147,0.236574746,0.763425254,0.347648262,0.107731305,0.309885932,1.156462585
2017,39190,52292,0.239209486,0.024830965,803,2321,461,92,1860,128,0.198621284,0.801378716,0.199566161,0.049462366,0.247849462,0.71875
2016,31625,51025,0.114419621,0.096039008,803,2054,272,87,1782,138,0.132424537,0.867575463,0.319852941,0.048821549,0.152637486,0.630434783
2015,28378,46554,0.270732581,0.075448161,803,2049,263,71,1786,141,0.128355295,0.871644705,0.269961977,0.039753639,0.147256439,0.503546099
2014,22332,43288,0.035662941,0.15048105,803,2027,205,51,1822,218,0.101134682,0.898865318,0.248780488,0.027991218,0.112513721,0.233944954
2013,21563,37626,0.208620593,-0.099662607,803,1826,239,98,1587,185,0.130887185,0.869112815,0.410041841,0.061751733,0.150598614,0.52972973
2012,17841,41791,-0.234784474,0.529181456,803,1656,328,119,1328,189,0.198067633,0.801932367,0.362804878,0.089608434,0.246987952,0.62962963
2011,23315,27329,,,803,1699,255,77,1444,366,0.150088287,0.849911713,0.301960784,0.0533241,0.176592798,0.210382514
2010,,,,,803,1648,250,118,1398,436,0.151699029,0.848300971,0.472,0.084406295,0.178826896,0.270642202
2021,22212,35611,0.045270588,-0.011821184,804.01,2728,122,0,2606,285,0.044721408,0.955278592,0,0,0.046815042,0
2020,21250,36037,0.142350285,-0.213509385,804.01,2868,161,0,2707,311,0.056136681,0.943863319,0,0,0.059475434,0
