tract,year,total_population,male,female,median_age,race_white,race_black,race_ai_alaskan,race_asian,race_hawaiian,race_other,race_hispanic,median_value,median_monthly_mort,median_monthly_rent
919.0,2013,4140,2042,2098,31.5,401,3085,13,1,0,582,778,282100.0,2450.0,1287.0
920.0,2013,5226,2485,2741,31.1,490,3724,9,259,0,520,1245,284100.0,2408.0,1293.0
921.01,2013,6595,3029,3566,34.4,2102,1119,0,2118,0,854,782,282700.0,1836.0,1181.0
922.0,2013,2992,1620,1372,36.8,809,1270,44,286,0,529,503,425300.0,2843.0,1215.0
923.0,2013,3418,1827,1591,30.5,104,2840,48,22,0,305,383,330600.0,2686.0,1197.0
924.0,2013,5629,2726,2903,31.8,442,4296,70,44,0,720,1454,294900.0,2320.0,1010.0
1001.0,2013,6295,2728,3567,27.3,702,4579,9,71,0,747,1675,261700.0,2155.0,538.0
1002.0,2013,2681,1238,1443,32.5,139,2162,0,31,0,171,339,278400.0,1844.0,1339.0
1003.0,2013,3201,1589,1612,35.4,366,2700,0,8,0,72,448,267200.0,2156.0,1203.0
1004.0,2013,5048,2115,2933,37.0,699,3536,176,332,0,138,494,330000.0,2370.0,1301.0
1005.0,2013,6838,3127,3711,37.0,1068,4563,40,823,0,72,872,374600.0,2299.0,1188.0
1006.01,2013,5183,2661,2522,36.9,2304,1344,12,1047,0,77,313,249400.0,2046.0,1261.0
1006.03,2013,1910,972,938,41.4,1303,242,9,336,0,19,41,288500.0,1785.0,995.0
1007.0,2013,4398,2057,2341,34.7,4050,209,0,84,0,9,147,363700.0,2242.0,1175.0
1008.0,2013,6379,2965,3414,38.2,3088,2446,0,653,0,21,70,305500.0,2166.0,1243.0
708.0,2014,3692,2318,1374,32.3,2692,576,10,398,0,4,231,517700.0,2798.0,1326.0
709.0,2014,3205,1647,1558,32.9,1812,687,0,282,0,236,647,597400.0,2428.0,1495.0
801.0,2014,2864,1928,936,34.5,660,1497,31,27,0,494,589,248100.0,1670.0,1007.0
803.0,2014,2049,923,1126,30.5,282,1223,11,1,0,464,611,223200.0,1353.0,950.0
805.0,2014,3073,1392,1681,29.1,587,1302,0,45,0,945,1598,410700.0,4000.0,565.0
806.01,2014,4138,1974,2164,20.3,2084,1058,0,544,0,362,795,225000.0,1361.0,667.0
813.0,2014,5568,2886,2682,31.8,1303,2346,11,89,0,1519,2490,258300.0,2080.0,522.0
814.0,2014,2919,1587,1332,28.8,1018,1391,0,214,0,243,377,354700.0,2170.0,1261.0
815.0,2014,2195,1144,1051,32.8,353,1376,0,81,0,305,577,292500.0,1679.0,1102.0
817.0,2014,3437,1478,1959,35.9,181,2498,13,56,0,443,632,346600.0,1716.0,684.0
818.0,2014,3200,1190,2010,34.2,174,2431,22,0,0,442,839,329600.0,2005.0,987.0
819.0,2014,3142,1278,1864,30.7,310,2371,0,20,0,391,906,236800.0,1985.0,943.0
820.0,2014,2719,1216,1503,42.0,243,2290,0,22,0,135,396,306400.0,2401.0,824.0
821.0,2014,5013,2308,2705,28.1,407,3353,0,94,0,1017,1781,275000.0,2411.0,429.0
901.0,2014,5132,2243,2889,30.7,377,3725,0,98,0,788,1128,365300.0,2333.0,940.0
902.0,2014,2526,1138,1388,29.4,136,893,0,100,23,1271,1261,390900.0,2104.0,809.0
903.0,2014,3648,1369,2279,29.1,180,2393,250,0,0,731,984,336100.0,1759.0,697.0
904.0,2014,3413,1483,1930,28.1,596,2083,0,26,0,505,1104,283200.0,1489.0,985.0
906.0,2014,2099,925,1174,33.4,159,1375,21,8,0,416,321,331800.0,1871.0,1130.0
907.0,2014,4547,2640,1907,33.2,2478,397,23,764,0,828,787,341300.0,1988.0,1229.0
909.01,2014,3700,1952,1748,25.0,1240,646,27,1110,0,608,842,,,1678.0
910.01,2014,3134,1645,1489,35.7,1797,406,0,784,0,86,65,334600.0,1934.0,1227.0
911.0,2014,5300,2545,2755,31.1,2873,270,0,1523,0,397,329,333100.0,2105.0,1313.0
912.0,2014,3167,1611,1556,30.9,1165,784,53,38,0,732,762,400000.0,2296.0,1119.0
913.0,2014,2583,1269,1314,31.6,375,1025,0,36,0,1043,607,245300.0,1685.0,1167.0
914.0,2014,2608,1382,1226,32.5,407,1183,26,64,0,851,848,232300.0,1953.0,954.0
